a	a1_T1
ai	ai_T1
am	a1_T1 m
an	a1_T1 n
anh	a1_T1 nh
ao	ao_T1
au	au_T1
aét	a1_T1 e1_T3 t
aên	a1_T1 e2_T1 n
aïc	a2_T3
aït	a1_T3 t
ba	b a1_T1
bai	b ai_T1
bam	b a1_T1 m
ban	b a1_T1 n
bang	b a1_T1 ng
banh	b a1_T1 nh
bao	b ao_T1
bay	b ay_T1
be	b e1_T1
beo	b eo_T1
bi	b i_T1
bia	b i_T1 a1_T1
bim	b i_T1 m
bin	b i_T1 n
binh	b i_T1 nh
biên	b ie2_T1 n
biếc	b ie2_T3 k
biếm	b ie2_T3 m
biến	b ie2_T3 n
biếng	b ie2_T3 ng
biết	b ie2_T3 t
biển	b ie2_T4 n
biểu	b ieu_T4
biện	b ie2_T6 n
biệt	b ie2_T6 t
bo	b o1_T1
bong	b o1_T1 ng
bu	b u1_T1
bua	b ua_T1
bun	b u1_T1 n
bung	b u1_T1 ng
buôn	b ua_T1 n
buông	b ua_T1 ng
buồm	b ua_T2 m
buồn	b ua_T2 n
buồng	b ua_T2 ng
buổi	b uoi2_T4
buộc	b ua_T6 k
buột	b ua_T6 t
by	b i_T1
bà	b a1_T2
bài	b ai_T2
bàn	b a1_T2 n
bàng	b a1_T2 ng
bành	b a1_T2 nh
bào	b ao_T2
bàu	b au_T2
bày	b ay_T2
bá	b a1_T3
bác	b a1_T3 k
bách	b a1_T3 ch
bái	b ai_T3
bán	b a1_T3 n
báng	b a1_T3 ng
bánh	b a1_T3 nh
báo	b ao_T3
báp	b a1_T3 p
bát	b a1_T3 t
báu	b au_T3
bây	b ay3_T1
bã	b a1_T5
bãi	b ai_T5
bão	b ao_T5
bè	b e1_T2
bèn	b e1_T2 n
bé	b e1_T3
béc	b e1_T3 k
bén	b e1_T3 n
béo	b eo_T3
bét	b e1_T3 t
bê	b e2_T1
bên	b e2_T1 n
bêu	b e2_T1 u1_T1
bì	b i_T2
bình	b i_T2 nh
bí	b i_T3
bích	b i_T3 ch
bính	b i_T3 nh
bíp	b i_T3 p
bít	b i_T3 t
bò	b o1_T2
bó	b o1_T3
bóc	b o1_T3 k
bói	b oi_T3
bón	b o1_T3 n
bóng	b o1_T3 ng
bóp	b o1_T3 p
bô	b o2_T1
bôi	b oi2_T1
bôn	b o2_T1 n
bông	b o2_T1 ng
bù	b u1_T2
bùa	b ua_T2
bùn	b u1_T2 n
bùng	b u1_T2 ng
bú	b u1_T3
búa	b ua_T3
búc	b u1_T3 k
búng	b u1_T3 ng
búp	b u1_T3 p
bút	b u1_T3 t
băm	b a2_T1 m
băng	b a2_T1 ng
bơ	b o3_T1
bơi	b oi3_T1
bưng	b u2_T1 ng
bươi	b uoi3_T1
bươn	b ua2_T1 n
bước	b ua2_T3 k
bướng	b ua2_T3 ng
bướu	b uou_T3
bạ	b a1_T6
bạc	b a1_T6 k
bạch	b a1_T6 ch
bại	b ai_T6
bạn	b a1_T6 n
bạo	b ao_T6
bạt	b a1_T6 t
bả	b a1_T4
bản	b a1_T4 n
bảng	b a1_T4 ng
bảo	b ao_T4
bảy	b ay_T4
bất	b a3_T3 t
bấy	b ay3_T3
bầm	b a3_T2 m
bần	b a3_T2 n
bầu	b au3_T2
bầy	b ay3_T2
bẩm	b a3_T4 m
bẩn	b a3_T4 n
bẩy	b ay3_T4
bẫm	b a3_T5 m
bẫy	b ay3_T5
bậc	b a3_T6 k
bận	b a3_T6 n
bật	b a3_T6 t
bậu	b au3_T6
bậy	b ay3_T6
bắc	b a2_T3 k
bắn	b a2_T3 n
bắng	b a2_T3 ng
bắp	b a2_T3 p
bắt	b a2_T3 t
bằm	b a2_T2 m
bằn	b a2_T2 n
bằng	b a2_T2 ng
bẳng	b a2_T4 ng
bặm	b a2_T6 m
bẹt	b e1_T6 t
bẻ	b e1_T4
bế	b e2_T3
bến	b e2_T3 n
bếp	b e2_T3 p
bết	b e2_T3 t
bề	b e2_T2
bền	b e2_T2 n
bể	b e2_T4
bễ	b e2_T5
bệ	b e2_T6
bện	b e2_T6 n
bệnh	b e2_T6 nh
bỉ	b i_T4
bị	b i_T6
bịa	b i_T6 a1_T1
bịnh	b i_T6 nh
bịt	b i_T6 t
bọ	b o1_T6
bọc	b o1_T6 k
bọn	b o1_T6 n
bọt	b o1_T6 t
bỏ	b o1_T4
bố	b o2_T3
bốc	b o2_T3 k
bối	b oi2_T3
bốn	b o2_T3 n
bốt	b o2_T3 t
bồ	b o2_T2
bồi	b oi2_T2
bồn	b o2_T2 n
bồng	b o2_T2 ng
bổ	b o2_T4
bổn	b o2_T4 n
bỗng	b o2_T5 ng
bộ	b o2_T6
bộc	b o2_T6 k
bội	b oi2_T6
bộn	b o2_T6 n
bộng	b o2_T6 ng
bộp	b o2_T6 p
bột	b o2_T6 t
