a	a1_T1
aa	a1_T1 a1_T1
abbas	ay3_T1 b b a1_T1 s
abbott	ay3_T1 b k b o1_T1 t t
abc	ay3_T1 b k
abdallah	ay3_T1 b d2 a1_T1 l l a1_T1 h
abiola	ay3_T1 b i_T1 o2_T1 l a1_T1
abul	ay3_T1 b u1_T1 n
accc	a2_T3 k k
ace	a2_T3 e1_T1
adam	a1_T1 j a1_T1 m
adani	a1_T1 j a1_T1 n i_T1
adelaide	a1_T1 d2 e2_T1 l a1_T1 oi_T1 e1_T1
adivasi	a1_T1 i_T1 j a1_T3 x i_T1
adrianne	a1_T1 r i_T1 a1_T1 n e1_T1
advance	a1_T1 j v a1_T1 n k e1_T1
aec	a1_T1 e1_T1 k
aest	a1_T1 e1_T3 s t
afghanistan	a1_T1 ph g a1_T1 n i_T3 s t a1_T1 n
afp	a1_T1 ph p
aged	a1_T1 g e2_T1 d2
agency	a1_T1 g e1_T1 n k i_T1
agriculture	a1_T1 g r i_T1 k u1_T1 l t u1_T1 o2_T1
aguila	a1_T1 g i_T1 l a1_T1
ahmet	a1_T1 h m e1_T1 t
ai	ai_T1
aid	d2 e2_T1
aids	d1 s
aim	a1_T1 i_T1 m
aimee	a1_T1 i_T1 m e1_T1 e1_T1
aires	a1_T1 i_T1 d1 e1_T1 s
ajax	a1_T1 d1 a1_T1 x
ajetemobi	a1_T1 d1 e1_T3 t e1_T1 m o2_T1 b i_T1
akavi	a1_T1 k a1_T1 j i_T1
akeela	a1_T1 k e1_T1 e2_T1 l a1_T1
akki	a1_T1 k k i_T1
al	a1_T1 l
alaa	a1_T1 l a1_T1 a1_T1
alan	a1_T1 l a1_T1 n
albanese	a1_T1 l b a1_T1 n e1_T1 s e1_T1
album	a1_T1 l b u1_T1 m
alex	a1_T1 l e2_T3 k x
alexandria	a1_T1 l e2_T3 k x a1_T1 n d2 r i_T1 a1_T1
alfa	a1_T1 l ph a1_T1
alhabsyi	a1_T1 l a1_T1 p x i_T1 i_T1
allan	a1_T1 l l a1_T1 n
allen	a1_T1 l l e1_T1 n
alliance	a1_T1 l l ie2_T1 n e1_T1
alpha	a1_T1 l ph a1_T1
am	a1_T1 m
amanda	a1_T1 m a1_T1 n j a1_T1
amazing	a1_T1 m a1_T3 nh i_T1 ng
ambrosio	a1_T1 m b d1 o1_T1 x i_T1 o2_T1
amep	e2_T1 m p
amin	a1_T1 m i_T1 n
amy	a1_T1 m i_T1
an	a1_T1 n
analytica	a1_T1 n a1_T1 l i_T1 t i_T1 k a1_T1
anbarasan	a1_T1 n b a1_T1 a1_T3 x a1_T1 n
and	a1_T1 n d2 e2_T1
anders	a1_T1 n d2 e2_T1 d1 s
andorajan	a1_T1 n d1 o1_T1 d1 a1_T1 d1 a1_T1 n
andrew	a1_T1 n d2 r j
andrews	a1_T1 n d2 r v s
andy	a1_T1 n d2 i_T1
ang	a1_T1 ng
angus	a1_T1 n g u1_T1 s
anh	a1_T1 nh
anoushka	a1_T1 n o2_T1 u1_T3 t k a1_T1
anthony	a1_T1 n t o1_T3 n i_T1
anu	a1_T1 n u1_T1
anzac	a1_T1 n d1 k
aran	a1_T1 r a1_T1 n
archie	a1_T1 ch i_T1 e1_T1
ardern	a1_T1 d1 e1_T1 n
arles	a1_T1 l e1_T3 s
armidale	a1_T1 m oi_T1 a1_T1 l e1_T1
army	a1_T1 m i_T1
asean	a1_T1 x e1_T3 a1_T1 n
asia	a1_T1 s i_T1 a1_T1
assagne	a1_T1 x s g n e1_T1
assanga	a1_T1 x s ng a1_T1
assange	a1_T1 x s ng e1_T1
ataturk	a1_T1 t a1_T1 t oa_T1 k
ath	a1_T1 t t
attaturk	a1_T1 t t a1_T1 t ua_T1 k
au	au_T1
audio	ao_T1 d1 i_T1 o2_T1
auspaynet	ao_T1 s p e2_T1 ay_T1 n e1_T1 t
australia	ao_T1 x t r a1_T1 l i_T1 a1_T1
australian	ao_T1 x t r a1_T1 l i_T1 a1_T1 n
autumn	ao_T1 t u1_T1 m n
avatar	a1_T1 j a1_T1 t a1_T1
ave	a1_T1 j e1_T1
aviv	a1_T1 j i_T1 v
