a	a1
aaron	a1 r O0 n
aaronitern	a1 r o0 n i1 t @0 r n
aarons	a1 r O0 n s
aas	a1 s
aase	a1 z @0
ab	&1 p
abaddon	&1 p &0 d ~1
abagtha	&1 p a0 k t h a0
abarim	&1 p a0 r i1 m
abba	&1 p b a0
abbiegen	&1 p b i0 g @0 n
abbild	&1 p b I0 l t
abbilde	&1 p b I0 l d @0
abbilden	&1 p b I0 l d @0 n
abbilder	&1 p b I0 l d @0 r
abbildern	&1 p b I0 l d @0 r n
abborgen	&1 p b O0 r g @0 n
abbrechen	&1 p b r E0 x @0 n
abbrennt	&1 p b r E0 n t
abbringen	&1 p b r I0 N @0 n
abda	&0 p d a0
abdas	&0 p d a0 s
abdeel	&0 p d e1 l
abdeels	&0 p d e0 E1 l s
abdi	&0 p d i0
abdichten	&1 p d I0 x t @0 n
abdis	&0 p d i0 s
abdiëls	&0 p d i1 l s
abdon	&1 p d O0 n
abed	&1 p E0 t
abel	a1 b @0 l
abels	a1 b @0 l s
abend	a1 b @0 n t
abende	a1 b @0 n d @0
abenden	a1 b @0 n d @0 n
abendessen	a1 b @0 n t E0 s @0 n
abendmahl	a1 b @0 n t m a0 l
abendmahls	a1 b @0 n t m a0 l s
abendopfer	a1 b @0 n d O0 + @0 r
abendopfers	a1 b @0 n d O0 + @0 r s
abends	a1 b @0 n =
abendzeit	a1 b @0 n t = W0 t
aber	a1 b @0 r
abermals	a1 b @0 r m a0 l s
aberntest	&0 b E0 r n t @0 s t
aberntet	&0 b E0 r n t @0 t
abfall	&1 p f &0 l
abfalle	&1 p f &0 l @0
abfallen	&1 p f &0 l @0 n
abfallet	&1 p f &0 l @0 t
abfallt	&1 p f &0 l t
abfiel	&1 p f i0 l
abfielen	&1 p f i0 l @0 n
abfressen	&1 p f r E0 s @0 n
abfrisst	&1 p f r I0 s t
abfuhren	&1 p f u0 r @0 n
abfällig	&1 p f E0 l I0 x
abführen	&1 p f y0 r @0 n
abführt	&1 p f y0 r t
abgabe	&1 p g a0 b @0
abgaben	&1 p g a0 b @0 n
abgearbeitet	&1 p g @0 &0 r b W0 t @0 t
abgebe	&1 p g e0 b @0
abgebrochen	&1 p g @0 b r O0 x @0 n
abgebt	&1 p g e0 p t
abgeerntet	&1 p g @0 E0 r n t @0 t
abgefallen	&1 p g @0 f &0 l @0 n
abgefallenen	&1 p g @0 f &0 l @0 n @0 n
abgefertigt	&1 p g @0 f E0 r t I0 x t
abgehalten	&1 p g @0 h &0 l t @0 n
abgehauen	&1 p g @0 h B0 @0 n
abgehauene	&1 p g @0 h B0 @0 n @0
abgehauenen	&1 p g @0 h B0 @0 n @0 n
abgehen	&1 p g e0 @0 n
abgeht	&1 p g e0 t
abgeirrt	&1 p g @0 I0 r t
abgekehrt	&1 p g @0 k e0 r t
abgelassen	&1 p g @0 l &0 s @0 n
abgelegt	&1 p g @0 l e0 k t
abgelesen	&1 p g @0 l e0 z @0 n
abgelöst	&1 p g @0 l 0 s t
abgemessen	&1 p g @0 m E0 s @0 n
abgemessenen	&1 p g @0 m E0 s @0 n @0 n
abgemüht	&1 p g @0 m y0 t
abgenommen	&1 p g @0 n O0 m @0 n
abgenötigt	&1 p g @0 n 0 t I0 x t
abgerieben	&1 p g @0 r i0 b @0 n
abgesagt	&1 p g @0 z a0 k t
abgeschabten	&1 p g @0 S a0 p t @0 n
abgeschafft	&1 p g @0 S &0 f t
abgeschiedene	&1 p g @0 S i0 d @0 n @0
abgeschlagen	&1 p g @0 S l a0 g @0 n
abgeschnitten	&1 p g @0 S n I0 t @0 n
abgeschoren	&1 p g @0 S o0 r @0 n
abgeschorene	&1 p g @0 S o0 r @0 n @0
abgeschreckt	&1 p g @0 S r E0 k t
abgesehen	&1 p g @0 z e0 @0 n
abgesetzt	&1 p g @0 z E0 = t
abgesondert	&1 p g @0 z O0 n d @0 r t
abgestorben	&1 p g @0 S t O0 r b @0 n
abgetan	&1 p g @0 t a0 n
abgewandt	&1 p g @0 v &0 n t
abgewaschen	&1 p g @0 v &0 S @0 n
abgeweidet	&1 p g @0 v W0 d @0 t
abgewendet	&1 p g @0 v E0 n d @0 t
abgewichen	&1 p g @0 v I0 x @0 n
abgewogen	&1 p g @0 v o0 g @0 n
abgewonnen	&1 p g @0 v O0 n @0 n
abgewälzt	&1 p g @0 v E0 l = t
abgezogen	&1 p g @0 = o0 g @0 n
abgezählt	&1 p g @0 = )0 l t
abglanz	&1 p g l &0 n =
abgott	&1 p g O0 t
abgrund	&1 p g r U0 n t
abgrunds	&1 p g r U0 n =
abgötter	&1 p g /0 t @0 r
abgötterei	&0 p g /0 t @0 r W1
abgöttern	&1 p g /0 t @0 r n
abgöttisch	&1 p g /0 t I0 S
abgöttischen	&1 p g /0 t I0 S @0 n
abgöttisches	&1 p g /0 t I0 S @0 s
abgürte	&1 p g Y0 r t @0
abhang	&1 p h &0 N
abhaue	&1 p h B0 @0
abhauen	&1 p h B0 @0 n
abhaut	&1 p h B0 t
abheben	&1 p h e0 b @0 n
abhebt	&1 p h e0 p t
abhob	&1 p h o0 p
abhänge	&1 p h E0 N @0
abhängen	&1 p h E0 N @0 n
abi	&0 b i0
abia	&0 b i0 a0
abialbon	&0 b i0 a1 l b o0 n
abiasaph	&0 b i1 &0 z a1 f
abiasaphs	&0 b i1 &0 z a1 f s
abib	&1 p I0 p
abida	&0 b i0 d a1
abidan	&0 b i0 d a1 n
abidans	&0 b i0 d a1 n s
abigail	&1 p I0 x W1
abigal	&0 b i0 g a1 l
abihail	&1 p I0 h W1
abihails	&1 p I0 h W1 s
abihu	&0 b i0 h u0
abihud	&0 b i0 h u0 t
abihus	&0 b i0 h u0 s
abilene	&0 b i0 l e1 n @0
abimael	&1 p I0 m &0 e1 l
abimaël	&0 b i0 m a1 l
abimelech	&0 b i0 m e1 l E0 x
abimelechs	&0 b i0 m e1 l E0 x s
abinadab	&0 b i0 n &0 d a0 p
abinadabs	&0 b i0 n &0 d a0 p s
abinoams	&0 b i0 n o0 &0 m s
abiram	&0 b i0 r a1 m
abirams	&0 b i0 r a1 m s
abirren	&1 p I0 r @0 n
abirrt	&1 p I0 r t
abisag	&0 b i0 z a1 k
abisai	&0 b i0 z a1 i0
abisaloms	&0 b i0 z a1 l O0 m s
abischua	&1 p I0 S u0 a0
abischuas	&1 p I0 S u0 a0 s
abischur	&1 p I0 S u1 r
abischurs	&1 p I0 S U0 r s
abital	&0 b i0 t a1 l
abitub	&0 b i0 t u1 p
abiud	&1 p I0 u0 t
abiël	&0 b i1 l
abiëls	&0 b i0 l s
abiëser	&0 b i1 z @0 r
abiësers	&0 b i1 z @0 r s
abiësriter	&1 p I0 s r I0 t @0 r
abjathar	&0 p j a0 t &0 r
abjathars	&0 p j a0 t &1 r s
abkaufen	&1 p k B0 f @0 n
abkaufst	&1 p k B0 f s t
abkehr	&1 p k e0 r
abkehren	&1 p k e0 r @0 n
abkehrt	&1 p k e0 r t
abknicken	&1 p k n I0 k @0 n
ablasse	&1 p l &0 s @0
ablassen	&1 p l &0 s @0 n
ablasset	&1 p l &0 s @0 t
ablegen	&1 p l e0 g @0 n
ablegt	&1 p l e0 k t
ablegte	&1 p l e0 k t @0
ablegtet	&1 p l e0 k t @0 t
ableugnet	&1 p l X0 g n @0 t
abliesse	&1 p l i0 s @0
ablässt	&1 p l E0 s t
ablösen	&1 p l 0 z @0 n
ablöst	&1 p l 0 s t
ablösung	&1 p l 0 z U0 N
abmachung	&1 p m &0 x U0 N
abmessen	&1 p m E0 s @0 n
abmüht	&1 p m y0 t
abnagen	&1 p n a0 g @0 n
abnehmen	&1 p n e0 m @0 n
abner	a1 b n @0 r
abners	&1 p n @0 r s
abnimmt	&1 p n I0 m t
abraham	&1 p r a0 &0 m
abrahams	&1 p r a0 &0 m s
abram	&1 p r &0 m
abrams	&1 p r &0 m s
abrechnen	&1 p r E0 x n @0 n
abreissen	&1 p r W0 s @0 n
abreisten	&1 p r W0 s t @0 n
abriegelte	&1 p r i0 g @0 l t @0
abrona	&1 p r O0 n a0
abrupfen	&1 p r U0 + @0 n
absagen	&1 p z a0 g @0 n
absagt	&1 p z a0 k t
absalom	&1 p z &0 l o0 m
absaloms	&1 p z &0 l o0 m s
absatz	&1 p z &0 =
absatzes	&1 p z &0 = @0 s
abschaben	&1 p S a0 b @0 n
abschaffen	&1 p S &0 f @0 n
abschaum	&1 p S B0 m
abscheiden	&1 p S W0 d @0 n
abscheidens	&1 p S W0 d @0 n s
abschere	&1 p S e0 r @0
abscheren	&1 p S e0 r @0 n
abscheu	&1 p S X0
abscheuliche	&1 p S X0 l I0 x @0
abschied	&1 p S i0 t
abschlage	&1 p S l a0 g @0
abschleppen	&1 p S l E0 p @0 n
abschluss	&1 p S l U0 s
abschneide	&1 p S n W0 d @0
abschneiden	&1 p S n W0 d @0 n
abschnitt	&1 p S n I0 t
abschnitte	&1 p S n I0 t @0
abschrecken	&1 p S r E0 k @0 n
abschrift	&1 p S r I0 f t
abseits	&1 p z W0 =
absicht	&1 p z I0 x t
absondern	&1 p z O0 n d @0 r n
absondert	&1 p z O0 n d @0 r t
absonderte	&1 p z O0 n d @0 r t @0
abspülen	&1 p S p y0 l @0 n
abstammen	&1 p S t &0 m @0 n
abstammung	&1 p S t &0 m U0 N
abstand	&1 p S t &0 n t
abstösst	&1 p S t 0 s t
absätze	&1 p z E0 = @0
abteilung	&1 p t W0 l U0 N
abteilungen	&1 p t W0 l U0 N @0 n
abtragen	&1 p t r a0 g @0 n
abtraten	&1 p t r a0 t @0 n
abtrennen	&1 p t r E0 n @0 n
abtreten	&1 p t r e0 t @0 n
abtrünnig	&1 p t r y0 n I0 x
abtrünnige	&1 p t r y0 n I0 g @0
abtrünnigen	&1 p t r y0 n I0 g @0 n
abtrünniger	&1 p t r y0 n I0 g @0 r
abtrünniges	&1 p t r y0 n I0 g @0 s
abtrünnigkeit	&1 p t r y0 n I0 x k W0 t
abtun	&1 p t u0 n
abtäte	&1 p t )0 t @0
abwarfen	&1 p v &0 r f @0 n
abwaschen	&1 p v &0 S @0 n
abwege	&1 p v e0 g @0
abwegen	&1 p v e0 g @0 n
abwehr	&1 p v e0 r
abwehren	&1 p v e0 r @0 n
abweichen	&1 p v W0 x @0 n
abweichst	&1 p v W0 x s t
abweicht	&1 p v W0 x t
abweiden	&1 p v W0 d @0 n
abweisen	&1 p v W0 z @0 n
abweisender	&1 p v W0 z @0 n d @0 r
abweiset	&1 p v W0 z @0 t
abwende	&1 p v E0 n d @0
abwenden	&1 p v E0 n d @0 n
abwendet	&1 p v E0 n d @0 t
abwendete	&1 p v E0 n d @0 t @0
abwendig	&1 p v E0 n d I0 x
abwerfen	&1 p v E0 r f @0 n
abwesend	&1 p v e0 z @0 n t
abwesenheit	&1 p v e0 z @0 n h W0 t
abwiesen	&1 p v i0 z @0 n
abwirft	&1 p v I0 r f t
abwischen	&1 p v I0 S @0 n
abwärts	&1 p v E0 r =
abwäscht	&1 p v E0 S t
abziehe	&1 p = i0 @0
abziehen	&1 p = i0 @0 n
abzieht	&1 p = i0 t
abzogen	&1 p = o0 g @0 n
abzufallen	&1 p = u0 f &0 l @0 n
abzuhauen	&1 p = u0 h B0 @0 n
abzulassen	&1 p = u0 l &0 s @0 n
abzuscheiden	&1 p = u0 S W0 d @0 n
abzuschlagen	&1 p = u0 S l a0 g @0 n
abzuschrecken	&1 p = u0 S r E0 k @0 n
abzutrennen	&1 p = u0 t r E0 n @0 n
abzuwenden	&1 p = u0 v E0 n d @0 n
abzählen	&1 p = )0 l @0 n
ach	&1 x
achaikus	&0 x a1 i0 k U0 s
achaja	&0 x a1 j a0
achajas	&0 x a1 j a0 s
achan	&0 x a1 n
achat	&0 x a1 t
achban	&1 x b a0 n
achbor	&1 x b o1 r
achbors	&1 x b O0 r s
achim	&0 x I1 m
achis	&0 x I1 s
achjan	a1 x j a0 n
achjo	a1 x j o0
achlab	&1 x l &1 p
achlai	&1 x l W1
achlais	&1 x l )1
achmetha	&1 x m e0 t a0
achor	&0 k o0 r
achrach	&0 k r &0 x
achsa	&1 k s a0
achschaph	&1 x S a1 f
achsel	&1 k s @0 l
achseln	&1 k s @0 l n
achsen	&1 k s @0 n
achsib	&1 k s I0 p
achsip	&1 k s I0 p
acht	&1 x t
achte	&1 x t @0
achten	&1 x t @0 n
achtest	&1 x t @0 s t
achtet	&1 x t @0 t
achtete	&1 x t @0 t @0
achteten	&1 x t @0 t @0 n
achtgab	&1 x t g a0 p
achtgeben	&1 x t g e0 b @0 n
achtgehabt	&1 x t g @0 h a0 p t
achtgibt	&1 x t g i0 p t
achthaben	&1 x t h a0 b @0 n
achthat	&1 x t h &0 t
achthatte	&1 x t h &0 t @0
achthundert	&0 x t h U1 n d @0 r t
achthunderttausend	&0 x t h U1 n d @0 r t t B0 z @0 n t
